simulation_index,ct,vt,infections,deaths,hospitalisations,YLLs,YLL_cost,discounted_costs,discounted_DALYs,cost_of_DALYs,discounted_doses,base_costs,base_DALYs,incremental_costs,incremental_DALYs,threshold_price,ct_n
74,1,4,67227164498.44757,21372306.104010507,84587346.08998133,345939396.6215474,5613625918810.827,108782417873.90564,244192148.17082584,3974839979456.8647,6760205210.603569,155869677537.36826,5059113851613.1,47087259663.462616,1084273872156.2349,167.35603381464313,0-5
74,1,5,45232308871.936775,14634109.056176832,54907259.96983414,226778821.23805377,4563578144269.69,85774686189.64005,167572705.6974272,3292238352935.233,5912934240.343509,155869677537.36826,5059113851613.1,70094991347.72821,1766875498677.8667,310.66986632323466,0-5
74,2,1,74723538654.9494,23901186.412939347,104638336.7120614,406909379.3933616,5795885895502.494,115923426118.83331,280801131.1275488,4068145326620.356,23679607756.171497,155869677537.36826,5059113851613.1,39946251418.53494,990968524992.7437,43.53597352737384,0-12
74,2,2,60025718772.75502,19394250.624298092,82778797.74659398,321944382.2637544,5217840788200.494,102780499955.9035,222663302.45470536,3666869471323.864,17842114729.520954,155869677537.36826,5059113851613.1,53089177581.46475,1392244380289.2358,81.00685259462551,0-12
74,2,3,36697407284.75329,12102253.51562147,48604079.851211846,191117091.42141923,3931921365095.6904,73158875806.58125,135841532.95262724,2785127750839.316,12646787374.92289,155869677537.36826,5059113851613.1,82710801730.787,2273986100773.7837,186.34747565833413,0-12
74,2,4,36527930180.08392,12026747.736766117,48671365.79938838,188673329.2468608,4003975722303.7427,75844569881.57408,134965257.28139797,2840034571138.031,10196251278.55034,155869677537.36826,5059113851613.1,80025107655.79417,2219079280475.069,225.48526172235916,0-12
74,2,5,25374038908.68517,8770225.040999204,32865114.852383964,131124419.77527338,3180013812664.703,57263506104.472855,94085452.47258456,2261478921507.975,7822621884.091012,155869677537.36826,5059113851613.1,98606171432.8954,2797634930105.1245,370.23917868613216,0-12
74,3,1,57822597073.92979,18625461.35922505,83795737.8068938,317463863.14261883,4950374961237.758,99045461231.20264,219274307.63233513,3479181933040.212,42101191878.00588,155869677537.36826,5059113851613.1,56824216306.16562,1579931918572.8877,38.87671730581367,0-18
74,3,2,39921706774.61046,13068179.440947982,57441917.981745735,214299963.5183626,4036033746077.6904,79143721467.62788,149750736.7503421,2846075843307.856,33040416541.478416,155869677537.36826,5059113851613.1,76725956069.74037,2213038008305.2437,69.30190972321581,0-18
74,3,3,19159124218.82899,6750045.956353971,26931491.057325795,101908696.53635342,2477430236678.6445,45661120429.896126,72601559.82549788,1752329512519.1406,24353858242.242054,155869677537.36826,5059113851613.1,110208557107.47214,3306784339093.959,140.30601895656176,0-18
74,3,4,18549902822.42868,6621526.375075136,26239345.83739626,99246744.0522122,2412091683012.305,44088358372.86646,70891058.58041455,1711516266943.3396,19828398517.441685,155869677537.36826,5059113851613.1,111781319164.5018,3347597584669.76,174.46587533487806,0-18
74,3,5,10889022826.255133,3955309.7342906543,15010484.283795904,58954714.61913415,1296668976730.9983,22321821572.884,43224701.580364294,943474963904.2626,15088415054.851564,155869677537.36826,5059113851613.1,133547855964.48425,4115638887708.837,281.6191580246215,0-18
74,4,1,102010058743.3668,28396684.729173522,144376126.9822472,542560909.2018849,6224893725795.469,140278561016.2222,376112071.3214586,4406444247851.371,21108767597.037346,155869677537.36826,5059113851613.1,15591116521.146057,652669603761.7285,31.657969476942185,65+
74,4,2,100959978713.64673,27191547.09594638,141372494.25142252,527920960.6927486,5991500325871.411,137001355780.70163,366305605.2826254,4247555130566.7534,17856674700.746803,155869677537.36826,5059113851613.1,18868321756.666626,811558721046.3462,46.505133610810674,65+
74,4,3,97232853292.31976,23183620.910702582,130960526.76457806,479080863.0647758,5196749160891.951,124962141894.09753,333585274.75592244,3711937131471.9707,14246761975.552242,155869677537.36826,5059113851613.1,30907535643.27072,1347176720141.129,96.7296469295425,65+
74,4,4,98349392626.06914,24325802.55403742,134113898.42572784,492883874.69150865,5417682434402.008,128779440305.8337,343066146.67734283,3859768129722.0293,12150106884.440035,155869677537.36826,5059113851613.1,27090237231.53456,1199345721891.0703,100.94034322391296,65+
74,4,5,93817757047.02083,19621930.287458863,121768175.92164733,435153772.1734805,4482211933174.329,114622667328.3325,304537929.85292155,3229910792816.981,9801922573.7434,155869677537.36826,5059113851613.1,41247010209.03575,1829203058796.1187,190.82481573722742,65+
74,5,1,56148010097.98052,16769063.960693905,79161268.86398217,294716418.07118064,4438286744076.797,91862358550.72551,204185919.34349176,3137988071222.498,65388147515.48452,155869677537.36826,5059113851613.1,64007318986.642746,1921125780390.6016,30.35921913688022,"0-18, 65+"
74,5,2,37748167714.5128,10876374.75900252,51766728.81983811,186416821.83528453,3425384423292.256,70897582625.09464,131095461.21883702,2435708459403.7275,52124161419.16343,155869677537.36826,5059113851613.1,84972094912.27362,2623405392209.372,51.96011625667922,"0-18, 65+"
74,5,3,17386959887.40054,4636285.073756739,21718342.155666374,76192267.72408654,1797398926093.2798,36303448740.93957,55218656.11559206,1291967457332.2207,39203836532.119644,155869677537.36826,5059113851613.1,119566228796.42868,3767146394280.879,99.14112920792662,"0-18, 65+"
74,5,4,16731352680.035276,4600466.563030424,21227037.33849194,74410076.48303768,1729111166066.1672,34115945577.26664,54084088.12669874,1243801467110.3674,32341609744.126324,155869677537.36826,5059113851613.1,121753731960.10162,3815312384502.7324,121.73377106493157,"0-18, 65+"
74,5,5,8915795566.320404,2012463.4381242294,10101059.152434353,34842216.75851916,682685100093.6124,13214975950.181393,26575305.485663265,512848651193.34,25026652660.0037,155869677537.36826,5059113851613.1,142654701587.18686,4546265200419.76,187.35705352640048,"0-18, 65+"
