country_code,simulation_index,age_grp,ifr,iso3c,itz
TWN,9,1,2.2830838998710005e-6,TWN,Eastern and Southern Asia
BGD,10,1,2.2087278561406214e-4,BGD,Eastern and Southern Asia
BRN,10,1,1.1940251397130143e-5,BRN,Eastern and Southern Asia
BTN,10,1,8.547179048512958e-5,BTN,Eastern and Southern Asia
CHN,10,1,2.0548053844013582e-5,CHN,Eastern and Southern Asia
HKG,10,1,3.1385305789025338e-6,HKG,Eastern and Southern Asia
IDN,10,1,4.301336268807337e-4,IDN,Eastern and Southern Asia
IND,10,1,1.1664800894440893e-4,IND,Eastern and Southern Asia
KHM,10,1,5.574273851952274e-5,KHM,Eastern and Southern Asia
KOR,10,1,1.9560560458955932e-6,KOR,Eastern and Southern Asia
LAO,10,1,3.693856389504624e-4,LAO,Eastern and Southern Asia
LKA,10,1,3.0592546755417174e-5,LKA,Eastern and Southern Asia
MAC,10,1,1.2629858064407983e-5,MAC,Eastern and Southern Asia
MDV,10,1,4.243886971010308e-5,MDV,Eastern and Southern Asia
MMR,10,1,1.4220169622712633e-4,MMR,Eastern and Southern Asia
MNG,10,1,1.1135369494992847e-4,MNG,Eastern and Southern Asia
MYS,10,1,1.4669244445009112e-4,MYS,Eastern and Southern Asia
NPL,10,1,2.90749346137302e-4,NPL,Eastern and Southern Asia
PHL,10,1,3.372518321977549e-4,PHL,Eastern and Southern Asia
PNG,10,1,1.0234619827312893e-4,PNG,Eastern and Southern Asia
PRK,10,1,3.791925739489253e-5,PRK,Eastern and Southern Asia
RUS,10,1,3.653324833518883e-5,RUS,Eastern and Southern Asia
SGP,10,1,1.3028273372685889e-5,SGP,Eastern and Southern Asia
THA,10,1,7.128436419533686e-6,THA,Eastern and Southern Asia
TLS,10,1,7.704144435778429e-4,TLS,Eastern and Southern Asia
VNM,10,1,1.722785156736745e-5,VNM,Eastern and Southern Asia
JPN,10,1,2.5121202321798206e-6,JPN,Eastern and Southern Asia
TWN,10,1,1.767634020707118e-6,TWN,Eastern and Southern Asia
BGD,11,1,3.6457101087383634e-4,BGD,Eastern and Southern Asia
BRN,11,1,8.181876678761451e-6,BRN,Eastern and Southern Asia
BTN,11,1,2.4279271491446248e-4,BTN,Eastern and Southern Asia
CHN,11,1,3.384686490578546e-5,CHN,Eastern and Southern Asia
HKG,11,1,3.22898726841287e-6,HKG,Eastern and Southern Asia
IDN,11,1,1.6319420630079583e-4,IDN,Eastern and Southern Asia
IND,11,1,2.4680930419572337e-4,IND,Eastern and Southern Asia
KHM,11,1,7.762808491191556e-5,KHM,Eastern and Southern Asia
KOR,11,1,2.489357622187744e-6,KOR,Eastern and Southern Asia
LAO,11,1,5.244975979242917e-4,LAO,Eastern and Southern Asia
LKA,11,1,6.847708576367202e-6,LKA,Eastern and Southern Asia
MAC,11,1,1.5587234844545915e-5,MAC,Eastern and Southern Asia
